Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Chandigarh, 31-12-2019, M, 8.33, 311146.00, 35.19
Chandigarh, 31-01-2020, M, 20.00, 332062.00, 42.94
Chandigarh, 29-02-2020, M, 16.67, 316887.00, 39.25
Chandigarh, 31-03-2020, M, 21.43, 279839.00, 36.68
Chandigarh, 31-05-2020, M, 16.84, 273215.00, 33.69
Chandigarh, 30-06-2020, M, 6.56, 321109.00, 35.16
Chandigarh, 31-07-2020, M, 8.26, 283948.00, 31.59
Chandigarh, 31-08-2020, M, 8.82, 286241.00, 31.97
Chandigarh, 30-09-2020, M, 3.41, 277870.00, 29.24
Chandigarh, 31-10-2020, M, 4.35, 285483.00, 30.26
Chandigarh, 30-11-2020, M, 8.65, 273749.00, 30.32
Chandigarh, 31-12-2020, M, 4.76, 294827.00, 31.25
Chandigarh, 31-01-2021, M, 7.84, 275308.00, 30.09
Chandigarh, 28-02-2021, M, 4.85, 331633.00, 35.03
Chandigarh, 31-03-2021, M, 8.41, 280809.00, 30.75
Chandigarh, 30-04-2021, M, 6.86, 294839.00, 31.68
Chandigarh, 31-05-2021, M, 23.08, 237070.00, 30.77
Chandigarh, 30-06-2021, M, 7.76, 313146.00, 33.82
Chandigarh, 31-07-2021, M, 7.22, 282968.00, 30.31
Chandigarh, 31-08-2021, M, 7.62, 295512.00, 31.72
Chandigarh, 30-09-2021, M, 11.32, 282733.00, 31.55
Chandigarh, 31-10-2021, M, 8.11, 317901.00, 34.15
Chandigarh, 30-11-2021, M, 12.73, 290910.00, 32.84
Chandigarh, 31-12-2021, M, 9.00, 304572.00, 32.89
Chandigarh, 31-01-2022, M, 14.68, 282264.00, 32.44
Chandigarh, 28-02-2022, M, 7.14, 315228.00, 33.22
Chandigarh, 31-03-2022, M, 13.51, 292636.00, 33.04
Chandigarh, 30-04-2022, M, 10.09, 297622.00, 32.25
Chandigarh, 31-05-2022, M, 14.95, 287191.00, 32.82
Chandigarh, 30-06-2022, M, 8.55, 319795.00, 33.91
Chandigarh, 31-07-2022, M, 14.29, 297046.00, 33.53
Chandigarh, 31-08-2022, M, 10.68, 300622.00, 32.49
Chandigarh, 30-09-2022, M, 14.55, 292170.00, 32.93
Chandigarh, 31-10-2022, M, 7.89, 327108.00, 34.13
Chandigarh, 30-11-2022, M, 13.39, 297511.00, 32.94
Chandigarh, 31-12-2022, M, 11.34, 316509.00, 34.15
Chandigarh, 31-01-2023, M, 17.89, 298226.00, 34.67
